t_ms,code,microstrain
2759.370,-115870,0.26
2762.400,-115841,0.31
2765.431,-115557,0.81
2768.461,-115478,0.95
2771.491,-115547,0.83
2774.835,-116324,-0.55
2777.865,-116564,-0.97
2780.896,-116034,-0.03
2783.926,-115801,0.38
2786.956,-115383,1.12
2789.987,-116020,-0.01
2793.017,-115909,0.19
2796.047,-116383,-0.65
2799.391,-116745,-1.29
2802.421,-115596,0.74
2805.452,-115611,0.71
2808.482,-115924,0.16
2811.512,-115783,0.41
2814.543,-115979,0.06
2817.573,-116401,-0.68
2820.603,-115808,0.37
2823.938,-115744,0.48
2826.968,-115440,1.02
2829.999,-115787,0.40
2833.029,-116002,0.02
2836.059,-116388,-0.66
2839.090,-116316,-0.53
2842.120,-116095,-0.14
2845.150,-115445,1.01
2848.495,-115526,0.86
2851.525,-115943,0.13
2854.556,-116336,-0.57
2857.586,-116551,-0.95
2860.616,-116073,-0.10
2863.647,-115961,0.10
2866.677,-115489,0.93
2869.707,-115610,0.72
2873.051,-116552,-0.95
2876.081,-116127,-0.20
2879.112,-116023,-0.01
2882.142,-116005,0.02
2885.172,-115958,0.10
2888.203,-115702,0.55
2891.233,-116149,-0.24
2894.263,-116159,-0.25
2897.605,-117336,-2.33
2900.635,-115717,0.53
2903.666,-115869,0.26
2906.696,-115809,0.36
2909.726,-115984,0.05
2912.757,-116079,-0.11
2915.787,-116260,-0.43
2918.817,-115855,0.28
2922.161,-117104,-1.92
2925.191,-115723,0.52
2928.222,-115914,0.18
2931.252,-115944,0.13
2934.282,-115947,0.12
2937.313,-116718,-1.24
2940.343,-116037,-0.04
2943.373,-116187,-0.30
2946.718,-115943,0.13
2949.748,-115691,0.57
2952.779,-115912,0.18
2955.809,-116244,-0.40
2958.839,-116529,-0.91
2961.870,-115980,0.06
2964.900,-115693,0.57
2967.930,-115958,0.10
2971.284,-116001,0.02
2974.314,-115936,0.14
2977.345,-116502,-0.86
2980.375,-116222,-0.37
2983.405,-115863,0.27
2986.436,-115555,0.81
2989.466,-115794,0.39
2992.496,-115762,0.45
2995.840,-116494,-0.85
2998.870,-115894,0.21
3001.901,-115939,0.13
3004.931,-115577,0.77
3007.961,-115561,0.80
3010.992,-115997,0.03
3014.022,-115983,0.06
3017.052,-116320,-0.54
3020.397,-116391,-0.66
3023.427,-116166,-0.27
3026.458,-115427,1.04
3029.488,-115516,0.88
3032.518,-116050,-0.06
3035.549,-116318,-0.53
3038.579,-116149,-0.24
3041.609,-115834,0.32
